,id,Unnamed: 1,action_id,action_name,player_id,player_name,team_id,team_name,position_id,position_name,opponent_id,opponent_name,opponent_team_id,opponent_team_name,opponent_position_id,opponent_position_name,half,second,zone_id,zone_name,zone_dest_id,zone_dest_name,pos_x,pos_y,pos_dest_x,pos_dest_y,gate_x,gate_y,len,direction,standart_id,standart_name,possession_id,possession_name,possession_team_id,possession_team_name,possession_time,possession_number,attack_status_id,attack_status_name,attack_type_id,attack_type_name,attack_flang_id,attack_flang_name,attack_team_id,attack_team_name,attack_number,body_id,body_name,assistant_id,assistant_name,shot_type,touches,shot_handling,sub_reason,var_decision,ts,dl,match_id,jornada
1299,60109,,27000,Ball out of the field,,,3356.0,Aguilas Doradas,,,,,,,,,2,237.57,3.0,1L,,,0.0,68.0,,,,,,,1.0,Open play,2.0,End,1491.0,America de Cali,40.0,107.0,2.0,End,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,81.0,,,,,,,,,,2022-02-13 14:58:28.698,0,2181335,6
1300,60111,,7000,Picking up,492038.0,Felipe Jaramillo Velasquez,3356.0,Aguilas Doradas,43.0,Defensive midfielder - Right central,,,,,,,2,257.55,6.0,2C,,,27.9,27.4,,,,,,,7.0,Broadcast interruption,1.0,Start,3356.0,Aguilas Doradas,0.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1301,60112,,1011,Attacking pass accurate,492038.0,Felipe Jaramillo Velasquez,3356.0,Aguilas Doradas,43.0,Defensive midfielder - Right central,974871.0,Jader Andres Quinones Caicedo,3356.0,Aguilas Doradas,23.0,Defensive midfielder - Left central,2,259.6,6.0,2C,6.0,2C,27.5,27.5,29.6,41.3,,,14.0,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1302,60113,,22000,Ball receiving,974871.0,Jader Andres Quinones Caicedo,3356.0,Aguilas Doradas,23.0,Defensive midfielder - Left central,,,,,,,2,261.05,6.0,2C,,,29.6,41.3,,,,,,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1303,60114,,1011,Attacking pass accurate,974871.0,Jader Andres Quinones Caicedo,3356.0,Aguilas Doradas,23.0,Defensive midfielder - Left central,492063.0,Alejandro Artunduaga Meneses,3356.0,Aguilas Doradas,12.0,Defender - Left,2,264.87,6.0,2C,7.0,2L,39.6,43.7,39.1,63.4,,,19.7,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1304,60115,,22000,Ball receiving,492063.0,Alejandro Artunduaga Meneses,3356.0,Aguilas Doradas,12.0,Defender - Left,,,,,,,2,266.57,7.0,2L,,,39.1,63.4,,,,,,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1305,60116,,1011,Attacking pass accurate,492063.0,Alejandro Artunduaga Meneses,3356.0,Aguilas Doradas,12.0,Defender - Left,974871.0,Jader Andres Quinones Caicedo,3356.0,Aguilas Doradas,23.0,Defensive midfielder - Left central,2,267.41,7.0,2L,7.0,2L,39.7,63.8,41.3,51.0,,,12.9,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1306,60117,,22000,Ball receiving,974871.0,Jader Andres Quinones Caicedo,3356.0,Aguilas Doradas,23.0,Defensive midfielder - Left central,,,,,,,2,268.4,7.0,2L,,,41.3,51.0,,,,,,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1307,60120,,1012,Attacking pass inaccurate,974871.0,Jader Andres Quinones Caicedo,3356.0,Aguilas Doradas,23.0,Defensive midfielder - Left central,,,,,,,2,270.5,7.0,2L,9.0,3C,43.6,46.3,74.0,36.8,,,31.8,1.0,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1308,71742,,2040,Lost balls,974871.0,Jader Andres Quinones Caicedo,3356.0,Aguilas Doradas,,,,,,,,,2,270.5,9.0,3C,,,74.0,36.8,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-13 17:43:00,0,2181335,6
