,id,Unnamed: 1,action_id,action_name,player_id,player_name,team_id,team_name,position_id,position_name,opponent_id,opponent_name,opponent_team_id,opponent_team_name,opponent_position_id,opponent_position_name,half,second,zone_id,zone_name,zone_dest_id,zone_dest_name,pos_x,pos_y,pos_dest_x,pos_dest_y,gate_x,gate_y,len,direction,standart_id,standart_name,possession_id,possession_name,possession_team_id,possession_team_name,possession_time,possession_number,attack_status_id,attack_status_name,attack_type_id,attack_type_name,attack_flang_id,attack_flang_name,attack_team_id,attack_team_name,attack_number,body_id,body_name,assistant_id,assistant_name,shot_type,touches,shot_handling,sub_reason,var_decision,ts,dl
0,15012,,161000,Substitute player,1115750.0,Yimmi Andres Congo Caicedo,1495.0,Deportivo Cali,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
1,15013,,161000,Substitute player,485294.0,Kevin Andres Velasco Bonilla,1495.0,Deportivo Cali,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
2,15014,,161000,Substitute player,1440873.0,Oscar David Segura Solis,1495.0,Deportivo Cali,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
3,15015,,161000,Substitute player,456209.0,Aldair Yesid Gutierrez Toncel,1495.0,Deportivo Cali,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
4,15016,,161000,Substitute player,16044.0,Michael Javier Ortega Dieppa,1495.0,Deportivo Cali,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
5,15017,,18010,1st half,,,,,,,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
6,15018,,15100,3-4-3,,,1495.0,Deportivo Cali,,,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
7,15019,,16310,GK,486179.0,Humberto Jose Acevedo Serrano,1495.0,Deportivo Cali,31.0,Goalkeeper,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
8,15020,,16130,LDM,56180.0,Christian Camilo Mafla Rebellon,1495.0,Deportivo Cali,13.0,Midfielder - Left,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
9,15021,,16420,RCD,471812.0,Kevin Joacid Moreno Sinisterra,1495.0,Deportivo Cali,42.0,Defender - Right central,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02 15:55:55.264,0
