,id,Unnamed: 1,action_id,action_name,player_id,player_name,team_id,team_name,position_id,position_name,opponent_id,opponent_name,opponent_team_id,opponent_team_name,opponent_position_id,opponent_position_name,half,second,zone_id,zone_name,zone_dest_id,zone_dest_name,pos_x,pos_y,pos_dest_x,pos_dest_y,gate_x,gate_y,len,direction,standart_id,standart_name,possession_id,possession_name,possession_team_id,possession_team_name,possession_time,possession_number,attack_status_id,attack_status_name,attack_type_id,attack_type_name,attack_flang_id,attack_flang_name,attack_team_id,attack_team_name,attack_number,body_id,body_name,assistant_id,assistant_name,shot_type,touches,shot_handling,sub_reason,var_decision,ts,dl
0,25012,,161000,Substitute player,1129677.0,Joel Jesus Contreras Torres,1508.0,Union Magdalena,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
1,25013,,161000,Substitute player,1153758.0,Roberto Carlos Hinojosa Marin,1508.0,Union Magdalena,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
2,25014,,161000,Substitute player,33890.0,Jairo Fabian Palomino Sierra,1508.0,Union Magdalena,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
3,25015,,161000,Substitute player,224173.0,James Amilkar Sanchez Altamiranda,1508.0,Union Magdalena,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
4,25028,,161000,Substitute player,176613.0,Juan Sebastian Herrera Juan Sebastian Herrera,1503.0,Cortulua,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
5,25029,,161000,Substitute player,984008.0,Edwin David Laszo Ramos,1503.0,Cortulua,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
6,25030,,161000,Substitute player,378929.0,Jose Hugo Palacios Arizala,1503.0,Cortulua,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
7,25031,,161000,Substitute player,1131350.0,Kevin Alexander Palacios Salazar,1503.0,Cortulua,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
8,25032,,161000,Substitute player,14751.0,Juan Dawid Valencia,1503.0,Cortulua,100.0,Substitute player,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
9,25033,,18010,1st half,,,,,,,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
10,25034,,15060,4-3-3 down,,,1508.0,Union Magdalena,,,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
11,25035,,16310,GK,33769.0,Carlos Andres Bejarano Palacios,1508.0,Union Magdalena,31.0,Goalkeeper,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
12,25036,,16520,RD,48147.0,James Enrike Castro Maestre,1508.0,Union Magdalena,52.0,Defender - Right,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
13,25037,,16120,LD,78377.0,Brayan Dario Correa Gamarra,1508.0,Union Magdalena,12.0,Defender - Left,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
14,25038,,16420,RCD,77239.0,Jonathan Lopera Gimenez,1508.0,Union Magdalena,42.0,Defender - Right central,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
15,25039,,16220,LCD,1299491.0,Stewar Mena,1508.0,Union Magdalena,22.0,Defender - Left central,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
16,25040,,16240,LCM,391671.0,Fabian David Cantillo Beleno,1508.0,Union Magdalena,24.0,Midfielder - Left central,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
17,25041,,16440,RCM,497097.0,Mateo Garcia Rojas,1508.0,Union Magdalena,44.0,Midfielder - Right central,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
18,25042,,16330,CDM,209592.0,Jahir Stiven Scott Oliveros,1508.0,Union Magdalena,33.0,Defensive midfielder - Central,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
19,25043,,16150,LAM,407096.0,Andres Antonio Escobar Martinez,1508.0,Union Magdalena,15.0,Attacking midfielder - Left,,,,,,,1,0.0,,,,,,,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-19 11:18:40.072,0
