Name,Number,xG per shot saved,xG conceded,Shots saved,InStat Index,Matches played,Minutes played,Clean sheets,Opponent's shots,Opponents' shots  on target,Goals conceded,"Shots saved, %",Supersaves,Penalties saved,Goals conceded - Penalties,"Penalties saved, %",Goalkeeper's interception,Good interception of goalkeeper,"Goalkeeper interceptions, %",Passes,Accurate passes,"Accurate passes, %",Key passes,Key passes accurate,Fouls,Foot passes from open play,Accurate foot passes from open play,"Accurate foot passes from open play, %",Hand passes,"Hand passes, accurate","Hand passes, accurate, %",Passes from set pieces,Accurate passes from set pieces,"Set piece passes, accurate, %",Short passes,Short passes accurate,"Short passes, accurate, %",Medium passes,Medium passes - accurate,"Mid range passes, accurate, %",Long passes,Accurate long passes,"Accurate long passes, %",xG per shot taken,xG per goal conceded,Opponents' xG conversion,Close range shots,Close range shots on target,Close range shots saved,"Сlose range shots saved, %",Mid range shots,Mid range shots on target,Mid range shots saved,"Mid range shots saved, %",Long range shots,Long range shots on target,Long range shots saved,% of long range shots saved,Jumping saves,Saves without jumping,Stopped shots,"Stopped shots, %",Shots saved with successful bouncing,"Shots saved with successful bouncing, %",Shots saved with unsuccessful bouncing,"Shots saved with unsuccessful bouncing, %",Nationality,Team,National team ,Age,Height,Weight,Foot,"National team (last match date, mm.yy)","Youth national team (last match date, mm.yy)"
Carlos Bejarano,1,0.45031250000000006,28.820000000000004,64,266.0,20,1928,4,267,90,27,71.11111111111111,23,0,4,0.0,58,52,89.65517241379311,477,397,83.22851153039832,0,0,0,208,170,81.73076923076923,64,62,96.875,195,158,81.02564102564102,28,27,96.42857142857143,243,236,97.11934156378601,206,134,65.0485436893204,0.10794007490636706,1.0674074074074076,0.9368494101318527,110,22,15,13.636363636363635,64,33,18,28.125,93,35,31,33.33333333333333,26,30,17,6.367041198501873,25,9.363295880149813,14,5.2434456928838955,"Equatorial Guinea, Colombia",Aguilas,-,36,180,76,Right,5.14,-
D. Novoa,12,0.3511320754716981,18.61,53,233.0,16,1573,5,192,67,14,79.1044776119403,17,3,1,23.076923076923077,52,47,90.38461538461539,387,327,84.49612403100775,0,0,0,206,162,78.64077669902912,59,55,93.22033898305084,118,106,89.83050847457628,54,54,100.0,191,179,93.717277486911,142,94,66.19718309859155,0.09692708333333333,1.3292857142857142,0.7522837184309511,58,13,7,12.068965517241379,71,35,32,45.07042253521127,63,20,15,23.809523809523807,19,33,32,16.666666666666664,15,7.8125,6,3.125,Colombia,America,-,32,186,80,Right,-,-
C. Mosquera,1,0.3635664335664336,51.99,143,200.0,37,3558,12,493,184,42,77.71739130434783,46,1,8,2.941176470588235,140,114,81.42857142857143,865,699,80.8092485549133,1,0,3,424,335,79.00943396226415,116,112,96.55172413793103,311,243,78.13504823151125,33,31,93.93939393939394,476,456,95.7983193277311,356,212,59.55056179775281,0.10545638945233266,1.237857142857143,0.8078476630121176,179,48,30,16.75977653631285,155,71,53,34.193548387096776,159,65,60,37.735849056603776,60,72,46,9.330628803245435,72,14.60446247464503,13,2.636916835699797,Colombia,Patriotas,-,27,191,83,Right,-,-
Carlos Andres Mosquera,12,-,0.25,0,-,1,99,0,4,2,2,0.0,0,0,0,0.0,2,2,100.0,15,13,86.66666666666667,0,0,0,10,9,90.0,2,1,50.0,3,3,100.0,1,1,100.0,7,7,100.0,7,5,71.42857142857143,0.0625,0.125,8.0,1,1,0,0.0,2,1,0,0.0,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,Colombia,Pereira,-,27,189,78,Right,-,4.11
H. Acevedo,1,0.15166666666666667,0.91,6,-,2,117,2,20,6,0,100.0,0,0,0,-,2,2,100.0,39,32,82.05128205128204,0,0,0,19,13,68.42105263157895,5,5,100.0,14,13,92.85714285714286,1,1,100.0,17,16,94.11764705882352,21,15,71.42857142857143,0.0455,-,0.0,6,1,1,16.666666666666664,7,2,2,28.57142857142857,7,3,3,42.857142857142854,2,3,3,15.0,2,10.0,0,0.0,Colombia,Cali,-,24,185,81,Both,-,-
J. Sánchez,1,0.3296428571428572,9.23,28,205.0,6,605,2,80,34,6,82.35294117647058,7,0,1,0.0,25,21,84.0,149,113,75.83892617449665,0,0,0,65,46,70.76923076923077,20,19,95.0,58,43,74.13793103448276,5,5,100.0,43,37,86.04651162790698,101,71,70.29702970297029,0.115375,1.5383333333333333,0.6500541711809317,27,7,5,18.51851851851852,26,16,12,46.15384615384615,27,11,11,40.74074074074074,10,16,13,16.25,4,5.0,9,11.25,Colombia,Quindio,-,27,186,81,Right,-,-
Joan Felipe Parra Marin,30,0.2581132075471698,27.36,106,165.0,22,2128,8,285,130,24,81.53846153846153,13,0,1,0.0,89,83,93.25842696629213,649,465,71.64869029275809,2,0,0,356,224,62.92134831460674,55,55,100.0,225,178,79.11111111111111,31,30,96.7741935483871,173,167,96.53179190751445,445,268,60.22471910112359,0.096,1.14,0.8771929824561404,89,24,13,14.606741573033707,92,56,50,54.347826086956516,104,50,43,41.34615384615385,39,60,61,21.403508771929825,29,10.175438596491228,9,3.1578947368421053,Colombia,Envigado,-,21,184,71,Both,-,-
P. Mina,1,0.42830645161290326,53.11000000000001,124,250.0,42,4090,12,440,171,49,72.51461988304094,54,2,9,5.0,180,164,91.11111111111111,1008,811,80.45634920634922,0,0,3,452,344,76.10619469026548,99,99,100.0,441,355,80.49886621315193,24,22,91.66666666666666,409,395,96.57701711491443,575,394,68.52173913043478,0.12070454545454547,1.0838775510204084,0.9226134437958952,163,48,34,20.858895705521473,144,77,49,34.02777777777778,133,46,41,30.82706766917293,41,70,53,12.045454545454545,44,10.0,14,3.1818181818181817,Colombia,Jaguares,-,36,183,81,Left,-,-
W. Cuesta,1,0.2870731707317073,11.77,41,235.0,18,1545,12,184,49,8,83.6734693877551,7,0,1,0.0,42,42,100.0,306,252,82.35294117647058,0,0,0,99,70,70.70707070707071,69,66,95.65217391304348,128,108,84.375,26,26,100.0,146,140,95.8904109589041,134,86,64.17910447761194,0.06396739130434782,1.47125,0.6796941376380629,61,8,6,9.836065573770492,46,14,9,19.565217391304348,77,27,26,33.76623376623377,18,21,24,13.043478260869565,15,8.152173913043478,0,0.0,Colombia,Deportes Tolima,-,28,195,87,Right,-,-
S. Viera,1,0.41644230769230767,43.309999999999995,104,243.0,43,4222,14,396,145,43,71.72413793103448,30,1,3,2.5,111,101,90.990990990991,1278,1038,81.2206572769953,7,3,1,720,576,80.0,106,103,97.16981132075472,418,333,79.66507177033493,23,23,100.0,551,517,93.82940108892922,704,498,70.73863636363636,0.10936868686868685,1.0072093023255813,0.9928422996998385,125,38,19,15.2,143,63,42,29.37062937062937,128,44,43,33.59375,40,56,49,12.373737373737374,40,10.1010101010101,7,1.7676767676767675,"Uruguay, Italy",Junior,-,38,185,82,Right,6.09,-
Christian Vargas,1,0.5185714285714286,25.41,49,224.0,26,2510,8,230,72,25,68.05555555555556,14,0,1,0.0,79,72,91.13924050632912,613,513,83.68678629690048,0,0,0,255,196,76.86274509803923,120,118,98.33333333333333,231,195,84.4155844155844,46,46,100.0,315,304,96.5079365079365,252,163,64.68253968253968,0.11047826086956522,1.0164,0.9838646202282566,84,19,7,8.333333333333332,67,25,19,28.35820895522388,79,28,23,29.11392405063291,22,22,21,9.130434782608695,17,7.391304347826087,6,2.608695652173913,Colombia,Millonarios,-,31,184,85,Right,-,-
