,team_name,cumxG_propio,cumxG_contrario
38,Atletico Huila,,
52,Deportes Quindio,,
330,Alianza Petrolera,1.5492165089159478,1.3989206136821852
331,Independiente Santa Fe,1.2145589137608694,0.9034786921355371
332,Cortulua,1.0637366372688104,0.6026194950975481
333,Once Caldas,1.0662327300879406,0.7054710610884536
334,Deportes Tolima,1.6370067674706794,1.0790437803949906
335,Deportivo Pasto,1.4684575822434285,1.1665832837901773
336,Jaguares de Cordoba,0.8311734587574585,1.432047216510773
337,La Equidad,1.1287504716655807,1.3633793840774449
338,Atletico Bucaramanga,0.6620498810111944,1.3186290327719927
339,CD Popular Junior FC SA,1.4015894465561267,1.2507381583297963
340,Aguilas Doradas,1.480445885442493,1.053452672211572
341,Atletico Nacional,1.0492815936960105,1.3007838582504474
342,Deportivo Pereira,1.1377518414949168,1.4445615586047662
343,Millonarios,1.5561160786770432,1.09904455987623
344,America de Cali,0.8529973762804403,2.023188339275477
345,Deportivo Cali,0.752535879003851,0.7280677032238702
346,Independiente Medellin,1.16001401728281,0.9634322796472761
347,Union Magdalena,0.9959601488440041,0.8189392459446228
348,Envigado,0.7747594358917843,0.6930233836660821
349,Patriotas Boyaca,0.9454863524183622,1.3827166881905086
